ID;Maquina;NumMaquina;Marca;OrdemReparacao;Actualizada;Avaria1;Avaria2;Avaria3;Avaria4;Avaria5;Avaria6;Avaria7;Avaria8;Avaria9;Avaria10;Avaria11;Avaria12;Avaria13;Avaria14;Avaria15;Avaria16;Avaria17;Avaria18;Avaria19;Avaria20;Avaria21;Avaria22;Avaria23;Avaria24;Avaria25;Avaria26;Avaria27;Avaria28;Avaria29;Avaria30;Extra1;Extra2;Extra3;Observacoes;DataTime;Acessorios;Tipo;ModeloElectrex;IntExt;Utilizador;Cliente;Link;LinkCheck;ModeloCheck
1170;E160TP;827152;Electrex;20120075;Não;IGBT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Potência queimada.;18-01-2012 16:21:47;;;;;;;;;
1171;E190;--;Electrex;20120073;Não;IGBT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Potência queimada.;17-01-2012 16:23:17;;;;;;;;;
1172;E190;023063;Electrex;20120081;Não;IGBT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Módulo empenado e fora do sítio devido a queda.
Transientes e parte da potência em curto.
Módulo carbonizado junto à pata do diodo 30PI1000.
Indutância junto ao módulo.
Há fotos";19-01-2012 16:24:47;;;;;;;;;
1173;E160HF;015041;Electrex;20120080;Sim;;;;;;;;;;;;;Resistência Cerâmica;;;;;;;;;;;;;;;;;;;;;Relé colado.;19-01-2012 16:29:00;;;;;;;;;
1174;E190HF;636003;Electrex;20120002;Não;;;;;;;Transformador Impulsos;;;;;;;;;;;;;;;;;;;;;;;;;;;Transformador impulsos e SG3525.;04-01-2012 16:30:41;;;;;;;;;
1175;E190HF;013031;Electrex;20112985;Sim;;;;;;;;;;;;;;;;;Circuito Frontal;;;;;;;;;;;;;;;;;Não abria o gás.;28-12-2011 16:32:51;;;;;;;;;
1177;E160HF;--;Electrex;20112626;Não;IGBT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Potência queimada.;19-01-2012 16:38:14;;;;;;;;;
1178;Elektro160;--;Electrosta;20120041;Não;;;Relé 48VDC;;;;Transformador Impulsos;;;;;;;;;;;;;;;;;;;;;;;;;;;Curto nas pistas do transformador de impulsos devido a corrosão e humidade.;13-01-2012 16:40:20;;;;;;;;;
1179;E160;606130;Electrex;20120038;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não foi detectada qualquer avaria no funcionamento da máquina.;13-01-2012 16:43:22;;;;;;;;;
1180;E160;709034;Electrex;20120040;Não;;;;;;;;;;;Diodo Secundário;;;;;;;;;Alça;;;;;;;;;;;;;;Diodo sec. 150EBU04 em curto.;13-01-2012 16:44:39;;;;;;;;;
1181;E160TP;--;Electrex;20120029;Não;IGBT;Ponte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Potência queimada.;19-01-2012 16:46:01;;;;;;;;;
1182;E1800Pro;035012;Electrex;20120023;Sim;IGBT;Ponte;Relé 48VDC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Potência queimada.
Alicates soldadura derretidos (foram substituidos).";19-01-2012 16:47:15;;;;;;;;;
1183;Transpocket1400;--;Fronius;20120052;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Comutador TIG/MMA na posição errada.
Alça, jg. cabos e ficha mono t/fr.";16-01-2012 16:49:17;;;;;;;;;
1184;Electro160;--;Electrex;20120039;Não;;;;;;;Transformador Impulsos;;;;;;;Painel Frontal;;;;;;;;;;;;;;;;;;;;"Transformador impulsos arrancado devido a queda ou pancada.
Tampa muito amolgada (levou nova, das n/conformes).";13-01-2012 16:51:39;;;;;;;;;
1185;Electro150;--;Electrex;20120042;Não;;;;;;;;;;;;;;;;;;;Tomadas;;;;;;;;;;;;;;;"Transistor IRF530 em curto.
Máquina com muito pó no interior.
Recolocação da tomada F25 do módulo.";19-01-2012 16:54:42;;;;;;;;;
1186;E230TP;711005;Electrex;20120049;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cabo de alimentação interrompido.;27-01-2012 8:48:04;;;;;;;;;
1187;E200AC/DC;--;Electrex;20120078;Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Avaria no c. entrada PZ-43.;27-01-2012 9:00:28;;;;;;;;;
1188;Electro160;--;Electrex;20120106;Sim;;;Relé 48VDC;;;;;;;;;;Resistência Cerâmica;;;;;;;;;;;;;;;;;;;;;Relé colado.;27-01-2012 9:04:05;;;;;;;;;
1190;E230;828097;Electrex;20111983;Não;IGBT;;Relé 48VDC;Relé 12VDC;;;;;;;;Microcontrolador;Resistência Cerâmica;;;;;;;;;;;;;;;;;;;;;Potência queimada.;27-01-2012 9:28:12;;;;;;;;;
1191;E230;282101;Electrex;20111984;Não;IGBT;;Relé 48VDC;Relé 12VDC;;;;;;;;Microcontrolador;Resistência Cerâmica;;;;;;;;;;;;;;;;;;;;;Potência queimada.;27-01-2012 9:34:35;;;;;;;;;
1193;E230HF;--;Electrex;20120116;Não;;;;Relé 12VDC;;;;;;;;;Resistência Cerâmica;;;;;;;;;;;;;;;;;;;;;"Relé queimado.
Objecto estranho no interior da máquina.
Muita limalha.
Fotos no computador.";27-01-2012 9:45:05;;;;;;;;;
1194;E160;528062;Electrex;20120046;Não;IGBT;Ponte;Relé 48VDC;;;;;;Inductância;;;;;;;;;;;;;;;;;;;;;;;;;Potência queimada.;27-01-2012 9:57:26;;;;;;;;;
1195;E35;424031;Electrex;77777777777777;Não;IGBT;;;;;;;;;;Diodo Secundário;;;;;;;;;;;;;;;;;;;;;;;Potência queimada.;27-01-2012 10:14:48;;;;;;;;;
1196;E160TP;1145044;Electrex;20120105;Não;;;;;;;;;;Sub. Módulo;;;;Painel Frontal;;;;;;;;;;;;;;;;;;;;"Módulo e painel fr. partidos devido a queda.
Fotos no computador.";27-01-2012 10:22:12;;;;;;;;;
1197;Electrotig150;--;Elektrosta;20120060;Não;IGBT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Potência queimada.;27-01-2012 10:31:51;;;;;;;;;
1198;DC170;1125036;Electrex;20120036;Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Recuperação de pistas devido à entrada de particulas de ferro.;27-01-2012 10:35:15;;;;;;;;;
1199;Powermax1650;059267;Hypertherm;20120004;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Recuperação do circuito frontal. Reforço de soldaduras.;27-01-2012 10:38:29;;;;;;;;;
1200;E230HF;1114064;Electrex;20120140;Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;condensadores de potencia rebentados;27-01-2012 13:08:55;;;;;;;;;
1201;E230HF;0000000000000;Electrex;20120142;Não;;;;;;;;;;;;Microcontrolador;;;;;;;;;;;;;;;;;;;;;;Microcontrolador com defeito não salta HF;27-01-2012 13:10:55;;;;;;;;;
1202;MMA141;826091;Electrex;20120131;Sim;;;;;;;;;;Sub. Módulo;;;;;;;;;;;;;;;;;;;;;;;;Substituição do módulo.;31-01-2012 16:16:22;;;;;;;;;
1203;Tig200;834014;OX;20120128;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Muita sujidade no interior.;31-01-2012 16:22:34;;;;;;;;;
1204;E160TP;745134;Electrex;20120171;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ventilador avariado.;31-01-2012 16:26:01;;;;;;;;;
1205;DC191;1106025;Electrex;20120153;Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Diodo 4007 em curto (o que liga o inverprotek);31-01-2012 16:31:28;;;;;;;;;
1206;Electro160;421116;Electrex;20120127;Não;;;;;;;Transformador Impulsos;;;;;;;;;;;;;;;;;;;;;;;;;;;"Transformador impulsos derretido. Pistas interrompidas.
Esta máquina foi assistida fora dos n/ serviços técnicos e tinha componentes
que não eram os indicados.
Foram substituidos os condensadores 470uF 400V.";31-01-2012 16:37:46;;;;;;;;;
1207;E190;--;Electrex;20120162;Não;;;Relé 48VDC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Relé com pistas interrompidas devido a sujidade metálica.;31-01-2012 16:44:11;;;;;;;;;
1208;Plasmacut50;--;--;20120033;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Com bicos mais pequenos não corta bem.;31-01-2012 16:48:00;;;;;;;;;
1209;E160;1135007;Electrex;20120143;Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Transientes em curto.;31-01-2012 16:53:01;;;;;;;;;
1210;E230;828102;Electrex;20120132;Não;;;;;;;;;;;;Microcontrolador;;;;;;;;;;;;;;;;;;;;;;Arc-force e Hot-start activos.;31-01-2012 16:56:08;;;;;;;;;
1211;E230TP;845129;Electrex;20120123;Não;;;;;;;;;;;;Microcontrolador;;;;;;;;;;;;;;;;;;;;;;Avaria no c. frontal.;31-01-2012 17:00:20;;;;;;;;;
1212;E230;709105;Electrex;20120123;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Máquina com a estrutura empenada.
Não foi detectada qualquer avaria no funcionamento da máquina.";31-01-2012 17:05:00;;;;;;;;;
1213;Powermax 1250;087007;Hypertherm;20120090;Não;;Ponte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;módulo de diodos em curto (SEMIKROM SKD160/18);01-02-2012 9:53:57;;;;;;;;;
1214;E160TP;--;Electrex;20120220;Não;IGBT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Potência queimada.
Interruptor tocha (950) avariado.";07-02-2012 10:52:04;;;;;;;;;
1215;E230HF;828003;Electrex;20120188;Não;IGBT;;;Relé 12VDC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Potência queimada.;07-02-2012 11:14:26;;;;;;;;;
1216;E230HF;826142;Electrex;20120187;Não;IGBT;;;;;;;;;;;Microcontrolador;;;;;;;;;;;;;;;;;;;;;;Avaria no microcontrolador.;07-02-2012 11:19:36;;;;;;;;;
1217;E160;606105;Electrex;20120197;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Solda do transf. potência partida devido a queda ou pancada.
Condensador partido.";07-02-2012 11:26:48;;;;;;;;;
1218;DC210;--;Electrex;20120174;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Avaria no Circ. entrada.
Máquina sem tampas.
Deflectores do ventilador partidos.";07-02-2012 11:38:24;;;;;;;;;
1219;E160TP;722125;Electrex;20120176;Não;;Ponte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Indutância saida empenada a bater na indutância HF e no C.frontal.;07-02-2012 11:48:36;;;;;;;;;
1220;E230;711065;Electrex;20120185;Não;;;Relé 48VDC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Avaria nos relés.;07-02-2012 11:53:17;;;;;;;;;
1221;E160TP;820267;Electrex;20120177;Não;IGBT;Ponte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Interrupção no cabo de alimentação.
Potência e ponte em curto.";07-02-2012 11:58:45;;;;;;;;;
1222;200DC;--;OX;20120182;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Mosfet em curto (K1168).;07-02-2012 12:04:26;;;;;;;;;
1223;E160;618008;Electrex;20120175;Não;;Ponte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Ponte em curto.
Refazer as ligações do cabo de alimentação.";07-02-2012 12:09:26;;;;;;;;;
1224;E200;813128;Electrex;20120181;Não;;;;;;;;;;;Diodo Secundário;;;;;;;;;;;;;;;;;;;;;;;"Diodos do secundário com pinos partidos (D92M-02).
Máquina assistida fora dos n/ serviços técnicos";07-02-2012 12:13:06;;;;;;;;;
1225;200A;-;Aslo;20120035;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Ferrite do transformador partida.
Não temos ferrites com estas caracteristicas.";07-02-2012 12:19:40;;;;;;;;;
1226;Power rod 1350;21379;Cebora;20120189;Não;;;;;;Transformador C.I.;;;;;;;;;;;;;;;;;;;;;;;;;;;;Pistas interrompidas no transformador auxiliar.;07-02-2012 12:23:24;;;;;;;;;
1227;E160TP;749041;Electrex;20120179;Sim;IGBT;;;;;;;;;;;Microcontrolador;;;;;;;;;;;;;;;;;;;;;;"Potênciómetro partido.
Potência queimada.";07-02-2012 12:29:14;;;;;;;;;
1228;Orbi140;--;Orbi;20120178;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Potenciómetro avariado e desligado.
Condensador rebentado.
Aconselhar a substituição dos cabos de soldadura.";07-02-2012 13:53:25;;;;;;;;;
1229;E160;611084;Electrex;20120180;Não;;;;;;Transformador C.I.;Transformador Impulsos;;Inductância;;;;;;;;;;;;;;;;;;;;;;;;;"Transformador c.i. e transformador impulsos em curto.
Colocação de indutância nova.
Máquina assistida fora dos n/ serviços técnicos.";07-02-2012 14:12:17;;;;;;;;;
1230;Gys165;--;Gys;20120156;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Avaria no painel frontal.
O painel é selado, não nos é possivel reparar.
A  máquina solda.";07-02-2012 14:18:41;;;;;;;;;
1231;Genera170;--;--;20120164;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Led bicolor 3 patas.
Reforço soldadura da indutancia.";07-02-2012 14:22:18;;;;;;;;;
1232;TX1601;--;Cemont;20120157;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Cabos de soldadura e tocha em mau estado.;07-02-2012 14:25:38;;;;;;;;;
1233;E160;624072;Electrex;20111778;Não;IGBT;;Relé 48VDC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Potência queimada.;07-02-2012 14:47:08;;;;;;;;;
1234;DC191;1123008;Electrex;20120226;Sim;;;Relé 48VDC;;;;;;;;;;Resistência Cerâmica;;;;;;;;;;;;;;;;;;;;;Avaria no relé.;10-02-2012 12:02:52;;;;;;;;;
1235;E300ACDC;048002;Electrex;20120234;Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Avaria no c.controlo PKB-05.;10-02-2012 12:07:36;;;;;;;;;
1236;E230HF;604087;Electrex;20120203;Não;;;;;;;;;;;;Microcontrolador;;;;;;Circuito HF;;;;;;;;;;;;;;;;Avaria no microcontrolador e circuito HF.;10-02-2012 12:21:32;;;;;;;;;
1237;Oritig150;399040;Esab;20120213;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Pré-gás longo.
Não se verificou qualquer defeito no funcionamento da máquina.";10-02-2012 12:27:13;;;;;;;;;
1238;Electro160;--;Electrex;20120154;Não;IGBT;;Relé 48VDC;;;;Transformador Impulsos;;;;;;;;;;;;;Alça;;;;;;;;;;;;;;"Potência queimada.
Transformador de impulsos em curto.
Máquina com muito pó metálico.
Fotos no pc.";10-02-2012 13:52:51;;;;;;;;;
1239;E160;--;Electrex;20120214;Não;IGBT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Potência queimada.
Substituição dos condensadores 470uF 400V.";10-02-2012 14:00:31;;;;;;;;;
1240;Power rod 1350;A94506;Cebora;20120211;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Não foi detectada qualquer avaria no funcionamento da máquina.
Foram substituidos os alicates de massa e soldadura.";10-02-2012 14:04:34;;;;;;;;;
1241;E190;610107;Electrex;20120198;Não;;;Relé 48VDC;;;;;Painel Tr.;;;;;Resistência Cerâmica;;;;;;;;;;;;;;;;;;;;;Avaria no relé.;10-02-2012 14:09:08;;;;;;;;;
1242;E160;--;Electrex;20120286;Sim;IGBT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Potência queimada. (Módulo);17-02-2012 8:50:37;;;;;;;;;
1243;E160;--;Electrex;20120287;Não;IGBT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Potência queimada.
Condensadores em curto com o módulo.
Substituição dos condensadores e isoladores.";17-02-2012 9:15:16;;;;;;;;;
1244;200DC;--;Ox;20120247;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Avaria no circuito de potênciam e teve origem no pó metálico que causou curtos entre as pistas e outros componentes.;17-02-2012 9:41:30;;;;;;;;;
1245;Plasma40;--;Ox;20120280;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Reparação do circuito de entrada (pistas em curto e carbonizadas).
Trocar de tocha devido ao mau estado pois não justifica a reparação.
Também o rendimento da máquina aumenta com esta substituição.";17-02-2012 9:49:57;;;;;;;;;
1246;1500Pro;623059;Electrex;20120293;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Condensador rebentado.;17-02-2012 10:24:39;;;;;;;;;
1247;H2M10;746080;Electrex;20120256;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Substituição da maleta.
Nãi foi detectada qualquer avaria.";17-02-2012 10:31:51;;;;;;;;;
1248;H2M10;833043;Electrex;20120260;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Substituição da maleta.
Não foi detectada qualquer avaria na máquina.";17-02-2012 10:36:47;;;;;;;;;
1249;H2M16;907134;Electrex;20120258;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Não foi detectada qualquer avaria no funcionamento da máquina.;17-02-2012 10:44:33;;;;;;;;;
1250;H2M10;839054;Electrex;20120257;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Substituição da maleta.
Condensador 470uF 400V rebentado.";17-02-2012 10:49:51;;;;;;;;;
1251;H2M10;834024;Electrex;20120259;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Avaria no circuito controlo igbt.;17-02-2012 10:54:19;;;;;;;;;
1252;E190;--;Electrex;20120241;Não;;Ponte;;;;;;Painel Tr.;;;;;;Painel Frontal;;;;;;Alça;;;;;;;;;;;;;;"Ponte em curto.
Paineis partidos, interruptor avariado, cabo de alimentação substituido e alça nova.";17-02-2012 11:17:12;;;;;;;;;
1253;200DC;506717;OX;20120245;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Reforço das soldaduras. Pistas interrompidas.
Levou 2 diodos D92-M02.";17-02-2012 11:22:45;;;;;;;;;
1254;E190;929040;Electrex;20120242;Não;IGBT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Potência queimada.;17-02-2012 11:28:35;;;;;;;;;
1255;H2M10;914038;Electrex;20120261;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Avaria no circuito hibrido.
Não nos é possivel reparar.
A máquina veio com muita humidade e lama no interior.
Já tinha shunts feitos fora dos N/ serviços técnicos.
Fotos no pc.";17-02-2012 11:30:41;;;;;;;;;
1256;E190;545012;Electrex;20120208;Não;;Ponte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Ponte rectificadora em curto devido a queda ou pancada forte.
Levou os 2 paineis por estarem partidos.";17-02-2012 11:38:15;;;;;;;;;
1257;200DC;5063652;OX;20120246;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Diodos com pinos partidos.;17-02-2012 11:42:15;;;;;;;;;
1258;E200;817009;Electrex;20120269;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Diodos com pinos partidos.;17-02-2012 11:46:44;;;;;;;;;
1259;E230HF;823013;Electrex;20120266;Não;IGBT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"2 transistores SGW30N60 em curto.
Tinha activo o pré-gas.";17-02-2012 11:50:16;;;;;;;;;
1260;E190;037055;Electrex;20120248;Não;;;;;;;;;;;;;;;;;;;;Alça;;;;;;;;;;;;;;"Máquina em mau estado para o tempo que tem.
Transientes e pistas em curto.";17-02-2012 11:57:43;;;;;;;;;
1261;E190;--;Electrex;20120243;Não;IGBT;;Relé 48VDC;;;;;;;;;;Resistência Cerâmica;;;;;;;;;;;;;;;;;;;;;"Potênca queimada.
Transientes em curto, relé e resistência cerâmica em curto.
Devido a queda ou pancada foi provocado um curto entra a tampa e o módulo.";17-02-2012 12:06:42;;;;;;;;;
1262;E160HF;--;Electrex;20120306;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Circuito frontal desencaixado devido a pancada.
Esta máquina tinha muito pó metálico no interior.";17-02-2012 12:11:31;;;;;;;;;
1263;Transpocket1400;10291358;Fronius;20120254;Não;;;;;;;;;;;;;;;;;;;Tomadas;Alça;;;;;;;;;;;;;;Ventiladdor, tomadas f25, ficha macho 230v, alça e ombreira.;17-02-2012 12:18:11;;;;;;;;;
1264;Weld Team;--;ArLiquido;20120233;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Soldas partidas e componentes em curto devido a queda ou pancada.
Tampa muito amassada.
Ventilador, relé e botão potenciómetro.";17-02-2012 13:47:57;;;;;;;;;
1265;Electrotig150;--;Electrex;20120228;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Recuperação de pistas queimadas.;17-02-2012 13:53:14;;;;;;;;;
1266;Orbi140;--;--;20120325;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Diodos BYV 52 200 em curto.;24-02-2012 15:27:10;;;;;;;;;
1267;E190;1106066;Electrex;20120232;Não;IGBT;Ponte;;;;;;Painel Tr.;;;;;;Painel Frontal;;;;;;;;;;;;;;;;;;;;Queda ou pancada forte. paineis partidos, base empenada, ponte em curto e potência queimada.;24-02-2012 15:33:51;;;;;;;;;
1268;E190;--;Electrex;20120313;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Diodo 4007 em curto.;24-02-2012 15:38:48;;;;;;;;;
1269;200DC;--;OX;20120322;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Diodo D92-M02 em curto.
Interruptor avariado.";24-02-2012 15:49:49;;;;;;;;;
1270;E230;--;Electrex;20120321;Sim;;;;;;;;;;;;;;;Potênciometro I2;;;;;;;;;;;;;;;;;;;Vai-se considerar garantia apesar da avaria não ter relação com a ultima reparação.;24-02-2012 15:57:54;;;;;;;;;
1271;E160;537074;Electrex;20120204;Não;IGBT;;Relé 48VDC;;;;;;Inductância;;;;;;;;;;;;;;;;;;;;;;;;;"Potência queimada.
Actualização da indutância e dissipadores da ponte.";24-02-2012 16:07:18;;;;;;;;;
1272;1500Pro;--;Electrex;20120315;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Resistências queimadas.
Aplicação de 4 resistências 8K2 3W.
Máquina suja de substância oleosa no interior.";24-02-2012 16:13:12;;;;;;;;;
1273;E190HF;016057;Electrex;20120340;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Avaria com origem em queda ou pancada.
Circ. SG3525, regulador 7812, mosfet IRF530, ponte mono 1.5A 100V
e anilha segurança M12.";24-02-2012 16:18:35;;;;;;;;;
1274;Aristotig 160;0000000000;Esab;2120342;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Ajustes de parametros;(arc force)";27-02-2012 10:35:56;;;;;;;;;
1275;H2M10;914038;Electrex;20120261;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Substituida a máquina pela n.º740071;27-02-2012 11:02:08;;;;;;;;;
1276;E200DC;021049;Electrex;20120347;Não;IGBT;;Relé 48VDC;;;;Transformador Impulsos;;;;;;;;;;;;;;;;;;;;;;;;;;;Potencia queimada, ventilador com pá partida;28-02-2012 9:24:28;;;;;;;;;
1277;E230TP;650038;Electrex;20120349;Não;;;;;;;;;;;;;Resistência Cerâmica;;;;;;;;;;;;;;;;;;;;;Avaria circuito HF, Resistencia 47R interrompida;28-02-2012 14:41:07;;;;;;;;;
1278;E160HF;922086;Electrex;20120350;Não;;;;;;;;;;;;;;;;;Circuito Frontal;;;;;;;;;;;;;;;;;"Substituiçao circuito painel frontal pelo modelo antigo, (Duplo)
alterava a corrente de soldadura";28-02-2012 16:16:04;;;;;;;;;
1279;E190HF;00000000000000;Electrex;20120348;Não;;Ponte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ponte rectificadora queimada;29-02-2012 9:01:55;;;;;;;;;
1280;E190HF;013031;Electrex;20120393;Não;;;;;;;;;;;Diodo Secundário;;;;;;;;;;;;;;;;;;;;;;;"Diodo sec. 150EBU04 em curto.
Esta avaria nada teve a ver com a avaria anterior.";07-03-2012 12:06:32;;;;;;;;;
1281;E200;743064;Electrex;2012040;Não;;;;;;;;;;;Diodo Secundário;;;;;;;;;;;;;;;;;;;;;;;"Diodo com patas partidas devido a queda ou pancada.
Ficha mono deficiente.";07-03-2012 12:19:56;;;;;;;;;
1282;E190HF;--;Electrex;20120423;Não;IGBT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Potência queimada.
Avaria nada tem a ver com a reparação anterior.";07-03-2012 12:26:51;;;;;;;;;
1283;200DC;70200171;OX;20120399;Não;;;;;;;;;;;Diodo Secundário;;;;;;;;;;;;;;;;;;;;;;;Diodo D92-M02 com patas partidas.;07-03-2012 13:41:59;;;;;;;;;
1284;E160;1111028;Electrex;20120398;Não;;;;;;;;;;;Diodo Secundário;;;;;;;;;;;;;;;;;;;;;;;"Painel traseiro partido e fixo com fios.
Diodo sec. e transientes em curto.
Pistas interrompidas.";07-03-2012 13:47:12;;;;;;;;;
1285;E160;844043;Electrex;20120231;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Pista interrompida na pata do transformador de potência.
colocação de pega plástica 180x40 e painel policarbonato.";07-03-2012 13:55:18;;;;;;;;;
1286;DC170;1125018;Electrex;20120376;Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Não foi detectada qualquer avaria. Todos os parametros dentro dos valores recomendados.
O cliente queixava-se que o minimo da máquina (30A), era muito alto.
Conseguiu-se reduzir para 25A.";07-03-2012 14:00:09;;;;;;;;;
1287;E160;539163;Electrex;20120402;Não;;;;;;;;;;;Diodo Secundário;;Resistência Cerâmica;Painel Frontal;;;;;;;;;;;;;;;;;;;;"Painel fr. partido.
Diodos secundários e transientes em curto.
Resistência cerâmica 47R 10W em curto.";07-03-2012 14:11:12;;;;;;;;;
1288;Alu-Arc 1400;--;--;20120430;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Recuperação de pistas interrompidas.
Cabo interligação potênciómetro ao módulo.";07-03-2012 14:15:24;;;;;;;;;
1289;Tig200DC;807859;OX;20120394;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Pistas interrompidas.
Relé SLA 24 Vdc e diodo 1N4148.";07-03-2012 14:32:36;;;;;;;;;
1290;Electro160;330181;Electrex;20120396;Não;;;;;;Transformador C.I.;;;;;;;;;;;;;;;;;;;;;;;;;;;;Transformador C.i. com primário interrompido.;07-03-2012 14:40:04;;;;;;;;;
1291;E160TP;1118033;Electrex;20120404;Sim;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Bloqueava o painel fr. devido à falta da ligação terra da ficha 3 pinos (ms);07-03-2012 14:53:21;;;;;;;;;
1292;160HF;61396;Gys;20120373;Não;;;;;;;;;;;;;Resistência Cerâmica;;;;;;;;;;;;;;;;;;;;;Resistência cerâmica 4K7 15W interrompida.;07-03-2012 14:59:10;;;;;;;;;
1293;E160HF;809289;Electrex;20120441;Não;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Tocha com defeito. Cabo descravado, nao temos solução para poder reparar;08-03-2012 9:52:30;;;;;;;;;
